id,unique_key,name,sku,category,brand,unit,sale price,price,stock
45719,7700F02E-2B5F-4F37-BB1D-79FEACE66BAB,Havit HV-H2218d wired colorful music headphone 06 month warranty,P45719,Headphone,Havit,pice,600,800,1
45720,323CB41A-821F-4DD6-A31B-90BD5BDF2471,Havit HV-H2590BT multi-function wireless headphone 06 month warranty,P45720,Headphone,Havit,pice,800,1000,1
45810,7CA310F8-FB4B-461A-A1CB-ED32CD73276A,Havit HV-HN02G HD PRO WEBCAM 6 Month warranty,P45810,Webcam,Havit,pice,1800,2000,1
45675,293853DE-CF75-4861-A282-271FEDCB7022,HAVIT HV-KB224 Multimedia Keyboard 1 year warranty,P45675,Keyboard,Havit,pice,460,660,10
45674,9F9BCBA6-076F-47EC-81D1-0F20146BDA1E,HAVIT HV-KB327 Multimedia Keyboard 06 month warranty,P45674,Keyboard,Havit,pice,450,650,2
45552,BFE5F448-B290-4F6F-924D-8032782DC450,Havit HV-MS66GT Wireless Optical Mouse 06 month warranty,P45552,Mouse,Havit,pice,400,600,1
45550,690A5D3F-6466-43AA-A822-233C3D2D9901,HAVIT HV-MS689 Small and Exquisite Design Optical Mouse  06 month warranty,P45550,Mouse,Havit,pice,200,400,3
45551,96B6541A-32AB-4186-AEC2-AC4A7D482A8F,HAVIT HV-MS689 Small and Exquisite Design Optical Mouse 06 month warranty,P45551,Mouse,Havit,pice,200,400,4
45554,8FDFC90A-40F8-4632-8CCC-5886F899AC42,HAVIT HV-MS732 RGB backlit Programmable gaming mouse 06 month warranty,P45554,Mouse,Havit,pice,600,800,1
45553,D3128B70-52EF-4397-A5F8-EAC37FE04FDD,Havit HV-MS981GT Wireless Optical Mouse 06 month warranty,P45553,Mouse,Havit,pice,300,500,1
45809,1D3A35D1-CCD7-423F-ADE5-5DD504B22E2C,Havit HV-N5085 4K PRO HD WEBCAM 6 Month warranty,P45809,Webcam,Havit,pice,2650,2850,1
45875,C3C1BB3A-CF65-4C68-9070-80A779FF39F8,Havit HV-SC055 LCD Screen cleaning kit ,P45875,Cleaner kit,Havit,pice,170,250,9
46684,3D956C84-A96E-49F7-9AEA-F32BC7BD9666,Havit KB249 wired mini Ultra USB keyboard ,P046683,Keyboard,Havit,pice,480,550,0
46686,F678A1B7-CC78-442A-B3F7-962F0A9718A5,Havit KB271 Ultra -Thin wired USB Keyboard,P046685,Keyboard,Havit,pice,380,450,0
46685,05829328-BE25-4EEA-A8B7-8FCAAAC88BE9,Havit KB376 Slim design wired USB Keyboard,P046684,Keyboard,Havit,pice,390,450,0
45680,AD1D133A-AADA-4CCE-B141-F2C246850F5D,Havit KB389L Mechanical Gaming Keyboard & Mouse Combo 06 month warranty,P45680,Keyboard,Havit,pice,3000,3500,1
46431,87546210-2FE6-4BCB-9834-710B09D40CA2,"Havit KB501CM Gamenote Wired Gaming Keyboart,Mouse,Headphone & Mouse Pad 4 in 1 combo  6 Months Warranty ",P046430,Keyboard,Havit,pice,1950,2200,0
46763,200BE383-E3E7-4166-BAF1-AC637B13FAAA,Havit KB893L Bachlit Mechanical USB Gaming Keyboard  1 Year Warranty,P046762,Keyboard,Havit,pice,2650,3000,0
